location_id,company,location_name,location_state,location_coordinates,location_address,location_phone,location_email,location_times,location_url
muv_lakeland,MÜV,Lakeland,Florida,"28.046085, -81.957671","224 N Florida Ave,, Lakeland, FL 33801",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/lakeland
muv_longwood,MÜV,Longwood,Florida,"28.697463, -81.365638","1090 W SR 434, Longwood, FL 32750",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/longwood
muv_lutz,MÜV,Lutz,Florida,"28.191746, -82.466365","21126 State Rd 54, Ste 104, Lutz, FL 33558",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/lutz
muv_marco_island,MÜV,Marco Island,Florida,"25.955392, -81.724555","695 Bald Eagle Drive, Marco island, FL 34145",8338805421,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/marco-island
muv_new_tampa,MÜV,New Tampa,Florida,"28.128324, -82.368611","17521 Preserve Walk Lane, Tampa, FL 33467",8338805421,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/new-tampa
muv_north_port,MÜV,North Port,Florida,"27.040479, -82.224667","5674 Tuscola Blvd, North Port, FL 34287",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/north-port
muv_ocala,MÜV,Ocala,Florida,"29.152844, -82.182984","3701 SW College Rd, Ocala, FL, USA",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/ocala
muv_orange_city,MÜV,Orange City,Florida,"28.9036, -81.28614","2494 Enterprise Rd, Orange City, FL 32763",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/orlando-vineland
muv_orange_park,MÜV,Orange Park,Florida,"30.184952, -81.739948","68 Blanding Boulevard, Orange Park, FL, 32073",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/orange-park
muv_orlando_garland,MÜV,Orlando-Garland,Florida,"28.540233, -81.381195","101 S Garland Ave, Suite 110, Orlando, FL 32801",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/orlando
muv_ormond_beach,MÜV,Ormond Beach,Florida,"29.262388, -81.094328","290 Clyde Morris Blvd., Suite B2, Ormond Beach, FL 32174",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/ormond-beach
muv_pensacola,MÜV,Pensacola,Florida,"30.468176, -87.213917","4785 N 9th Ave., Pensacola, FL 32503",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/pensacola
muv_pinellas_park,MÜV,Pinellas Park,Florida,"27.839666, -82.73847","7263 Park Blvd N, Pinellas Park, FL 33781",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/pinellas-park
muv_port_charlotte,MÜV,Port Charlotte,Florida,"26.965895, -82.078114","22627 Bayshore Rd., Port Charlotte, FL 33980",8338805421,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/port-charlotte
muv_port_st_lucie,MÜV,Port St. Lucie,Florida,"27.310638, -80.402568","120 SW Chamber Ct., Port St. Lucie, FL 34986",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/port-st-lucie
muv_sarasota,MÜV,Sarasota,Florida,"27.338328, -82.468836","5045 Fruitville Rd, Sarasota, FL 34232",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 3pm, Sunday Closed",https://www.muvfl.com/locations/sarasota
muv_sarasota_main,MÜV,Sarasota-Main,Florida,"27.336337, -82.538173","1618 Main Street, Sarasota, FL, USA",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 3pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/sarasota-main
muv_sebastian,MÜV,Sebastian,Florida,"27.826578, -80.477217","1701 US 1, Units 3, 4 & 5, Sebastian FL 32958",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/sebring
muv_sebring,MÜV,Sebring,Florida,"27.519184, -81.495812","3900 US-27, Sebring, FL 33870, USA",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/sebastian
muv_shalimar,MÜV,Shalimar,Florida,"30.444774, -86.57994","1246 Eglin Pkwy, Shalimar, FL 32579",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/shalimar
muv_spring_hill,MÜV,Spring Hill,Florida,"28.433016, -82.551337","18941 Old Shady Hills Rd., Spring Hill, FL 34610",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/spring-hill
muv_st_augustine,MÜV,St. Augustine,Florida,"29.88739, -81.32414","400 S. Ponce de Leon Blvd., St. Augustine, FL 32084",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/st-augustine
muv_st_petersburg,MÜV,St. Petersburg,Florida,"27.772281, -82.64997","1101 First Avenue North, St. Petersburg, FL 33705",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/st-petersburg
muv_stuart,MÜV,Stuart,Florida,"27.176982, -80.254318","265 Southwest Monterey Road, Stuart, FL, 34994",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/stuart
muv_tallahassee,MÜV,Tallahassee,Florida,"30.422991, -84.248929","2711 Blair Stone Rd, Tallahassee, FL 32301",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/tallahassee
muv_tamarac,MÜV,Tamarac,Florida,"26.205531, -80.251633","6510 N University Dr., Tamarac, FL 33321",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/tamarac
muv_tampa_dale_mabry,MÜV,Tampa-Dale Mabry,Florida,"28.015911, -82.504408","7229 N Dale Mabry, Tampa, FL 33614",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/tampa
muv_tampa_west_kennedy,MÜV,Tampa-West Kennedy,Florida,"27.94509, -82.48754","2617 West Kennedy Blvd., Tampa, FL 33609",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/tampa-west-kennedy
muv_wellington,MÜV,Wellington,Florida,"26.66286, -80.205242","1045 South State Road 7 Ste 200, Wellington, Florida, 33414",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/wellington
muv_west_melbourne,MÜV,West Melbourne,Florida,"28.079291, -80.701151","4450 West New Haven Avenue, West Melbourne, FL 32904",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/west-melbourne
muv_west_palm_beach,MÜV,West Palm Beach,Florida,"26.71249, -80.05257","313 W Datura Street, Ste 101, West Palm Beach, FL 33401",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/west-palm-beach
